Date,Open,High,Low,Close      Close price adjusted for splits.,Adj Close      Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Jan 1, 2021","1,549.00","1,735.00","1,505.00","1,531.35","1,411.56","10,042,582"
"Dec 1, 2020","1,322.30","1,647.00","1,300.05","1,539.95","1,419.48","10,373,748"
"Nov 1, 2020","1,390.00","1,404.80","1,281.10","1,315.70","1,212.78","5,645,519"
"Oct 1, 2020","1,391.00","1,464.80","1,285.95","1,378.70","1,270.85","10,629,692"
"Sep 1, 2020","1,091.05","1,419.85","1,091.05","1,383.45","1,275.23","11,943,247"
"Aug 1, 2020","1,157.95","1,230.00","1,081.85","1,103.60","1,017.27","5,997,542"
"Jul 2, 2020",35.00 Dividend
"Jul 1, 2020",877.00,"1,208.80",855.00,"1,157.95","1,025.01","15,988,210"
"Jun 1, 2020",877.65,920.00,822.05,878.75,777.86,"4,263,956"
"May 1, 2020",728.65,888.75,692.55,860.95,762.11,"6,373,394"
"Apr 1, 2020",660.00,758.65,646.05,728.65,645.00,"5,196,099"
"Mar 1, 2020",876.10,893.55,630.00,664.45,588.17,"12,728,540"
"Feb 1, 2020",915.55,956.95,840.00,871.55,771.49,"4,770,460"
"Jan 1, 2020",927.00,949.70,868.05,929.85,823.10,"5,804,272"
"Dec 1, 2019",875.60,932.80,832.90,922.25,816.37,"2,999,512"
"Nov 1, 2019",945.10,954.95,827.75,878.35,777.51,"4,272,717"
"Oct 1, 2019",957.10,962.95,880.10,950.25,841.16,"4,207,366"
"Sep 1, 2019",975.80,999.35,935.00,957.00,847.13,"2,615,141"
"Aug 1, 2019",938.00,999.50,905.05,975.80,863.77,"2,432,053"
"Jul 11, 2019",27.00 Dividend
"Jul 1, 2019","1,010.00","1,015.75",890.20,938.90,807.34,"6,418,882"
"Jun 1, 2019",985.80,"1,017.90",930.20,"1,004.10",863.40,"3,375,252"
"May 1, 2019",969.40,"1,005.05",917.55,993.85,854.59,"4,779,509"
"Apr 1, 2019",997.25,"1,017.40",950.00,969.40,833.57,"3,365,633"
"Mar 1, 2019","1,043.55","1,049.50",936.45,991.10,852.23,"4,756,670"
"Feb 1, 2019",997.05,"1,063.00",987.35,"1,041.20",895.31,"4,412,224"
"Jan 1, 2019","1,019.00","1,027.70",858.00,"1,002.65",862.16,"8,766,196"
"Dec 1, 2018","1,008.80","1,038.00",943.05,"1,018.45",875.74,"6,092,477"
"Nov 1, 2018",993.10,"1,020.00",882.25,"1,003.15",862.59,"7,689,908"
"Oct 1, 2018","1,173.00","1,183.00",938.00,986.95,848.66,"14,555,378"
"Sep 1, 2018","1,268.90","1,276.55","1,148.10","1,173.25","1,008.85","7,450,007"
"Aug 1, 2018","1,163.70","1,278.80","1,140.20","1,260.00","1,083.45","8,234,260"
"Jul 26, 2018",20.00 Dividend
"Jul 1, 2018","1,092.80","1,248.45","1,062.00","1,151.75",973.51,"8,099,622"
"Jun 1, 2018","1,096.90","1,155.00",995.00,"1,084.20",916.41,"7,320,879"
"May 1, 2018","1,036.35","1,149.90",960.00,"1,101.10",930.70,"31,299,455"
"Apr 1, 2018",839.85,"1,060.00",838.00,"1,036.35",875.97,"9,925,655"
"Mar 1, 2018",867.00,894.65,799.00,837.75,708.10,"5,337,491"
"Feb 1, 2018",909.85,934.00,812.10,859.70,726.65,"5,477,544"
"Jan 1, 2018",729.40,925.00,707.10,894.85,756.36,"7,947,303"
"Dec 1, 2017",732.95,772.00,699.05,725.65,613.35,"2,096,386"
"Nov 1, 2017",699.45,775.00,680.05,728.95,616.14,"4,354,889"
"Oct 1, 2017",618.70,736.00,605.00,693.50,586.18,"2,760,814"
"Sep 1, 2017",614.95,641.75,572.30,618.70,522.95,"1,818,917"
"Aug 1, 2017",602.10,628.00,525.50,609.10,514.84,"1,052,530"
"Jul 13, 2017",17.00 Dividend
"Jul 1, 2017",594.30,649.00,563.10,604.60,496.63,"2,374,704"
"Jun 1, 2017",604.95,654.00,579.60,599.50,492.44,"1,767,995"
"May 1, 2017",536.25,620.00,536.25,613.55,503.98,"2,121,979"
"Apr 1, 2017",576.90,579.50,521.55,536.25,440.49,"1,493,111"
"Mar 1, 2017",597.50,606.00,565.05,579.90,476.34,"3,176,138"
"Feb 1, 2017",575.00,597.90,558.00,595.10,488.83,"4,434,406"
"Jan 1, 2017",555.10,580.00,516.00,559.25,459.38,"2,054,188"
"Dec 1, 2016",529.75,579.90,506.15,565.25,464.31,"2,181,160"
"Nov 1, 2016",516.00,533.20,465.05,526.75,432.68,"3,106,844"
"Oct 19, 2016",20.00 Dividend
"Oct 1, 2016",520.10,560.05,501.00,512.60,405.63,"1,658,462"
"Sep 1, 2016",575.00,576.95,501.10,519.65,411.21,"2,420,884"
"Aug 1, 2016",541.00,576.90,516.60,567.40,448.99,"2,577,891"
"Jul 1, 2016",575.00,580.00,518.40,540.90,428.02,"1,794,649"
"Jun 1, 2016",525.95,624.00,515.00,573.45,453.78,"4,828,694"
"May 1, 2016",486.00,553.00,458.00,524.25,414.85,"4,512,182"
