Date,Open,High,Low,Close      Close price adjusted for splits.,Adj Close      Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Oct 1, 2016",321.00,353.50,317.67,322.40,292.20,"3,865,550"
"Sep 1, 2016",313.75,323.35,295.90,320.05,290.07,"4,899,752"
"Aug 1, 2016",346.95,346.95,300.45,311.23,282.07,"2,577,424"
"Jul 1, 2016",349.00,352.50,311.38,343.20,311.05,"3,607,902"
"Jun 1, 2016",365.00,369.00,335.00,348.80,316.12,"2,469,352"
"May 1, 2016",371.20,372.38,353.95,367.98,333.50,"2,214,272"
"Apr 1, 2016",380.00,392.45,353.13,371.27,336.49,"4,093,714"
"Mar 17, 2016",1.50 Dividend
"Mar 1, 2016",309.45,399.00,292.83,381.08,343.81,"12,203,048"
"Feb 2, 2016",2.50 Dividend
"Feb 1, 2016",332.48,344.50,287.50,303.85,272.07,"2,636,676"
"Jan 1, 2016",321.52,333.88,292.80,331.45,296.78,"3,129,480"
"Dec 1, 2015",332.50,348.85,319.08,320.80,287.25,"3,452,262"
"Nov 1, 2015",328.50,342.20,312.00,332.98,298.15,"1,687,162"
"Oct 1, 2015",332.50,352.05,320.00,322.65,288.90,"2,466,696"
"Sep 1, 2015",353.00,360.00,325.05,332.83,298.01,"2,295,934"
"Aug 1, 2015",332.65,380.00,319.50,350.50,313.84,"3,495,928"
"Jul 16, 2015",1.25 Dividend
"Jul 1, 2015",302.80,339.00,287.45,332.55,296.61,"7,124,998"
"Jun 1, 2015",387.50,387.50,288.00,300.15,267.71,"12,613,558"
"May 1, 2015",352.88,410.40,331.10,393.33,350.82,"6,399,110"
"Apr 1, 2015",357.00,399.55,345.60,352.88,314.74,"6,674,516"
"Mar 10, 2015",2:1 Stock Splits
"Mar 1, 2015",457.75,471.25,346.00,357.15,318.55,"10,784,514"
"Feb 1, 2015",423.25,447.50,402.45,444.16,396.16,"3,891,348"
"Jan 29, 2015",2.50 Dividend
"Jan 1, 2015",414.50,480.08,408.76,421.86,374.05,"9,846,372"
"Dec 1, 2014",376.00,479.23,365.56,415.92,368.78,"5,166,652"
"Nov 1, 2014",327.15,383.75,318.75,380.50,337.37,"4,931,148"
"Oct 1, 2014",352.01,388.75,309.50,324.91,288.09,"3,486,752"
"Sep 1, 2014",323.49,367.00,314.29,351.15,311.35,"1,829,872"
"Aug 1, 2014",310.01,334.98,290.51,314.00,278.41,"1,479,256"
"Jul 17, 2014",1.00 Dividend
"Jul 1, 2014",271.00,349.50,262.50,312.71,276.38,"5,939,156"
"Jun 1, 2014",270.00,292.08,250.32,270.30,238.90,"7,122,468"
"May 1, 2014",251.84,271.75,220.00,266.92,235.91,"8,083,644"
"Apr 1, 2014",261.26,287.00,245.30,251.84,222.58,"5,630,708"
"Mar 1, 2014",284.63,306.81,251.00,262.36,231.88,"9,432,788"
"Feb 1, 2014",240.80,290.00,231.18,283.51,250.57,"5,047,056"
"Jan 30, 2014",2.00 Dividend
"Jan 1, 2014",247.25,263.00,240.13,241.30,211.55,"6,487,436"
"Dec 1, 2013",217.99,264.23,206.25,244.48,214.33,"4,018,008"
"Nov 1, 2013",201.50,226.76,197.76,216.75,190.02,"3,872,292"
"Oct 1, 2013",159.73,214.36,156.25,203.27,178.21,"6,024,520"
"Sep 1, 2013",145.01,160.57,140.06,158.35,138.83,"1,522,712"
"Aug 1, 2013",130.00,148.26,126.71,146.82,128.72,"1,914,880"
"Jul 24, 2013",0.75 Dividend
"Jul 1, 2013",125.25,138.38,118.82,129.93,113.28,"1,492,080"
"Jun 1, 2013",127.50,132.99,119.99,125.45,109.37,"3,802,016"
"May 1, 2013",129.99,136.00,125.04,128.24,111.80,"2,394,928"
"Apr 1, 2013",135.99,143.50,125.56,129.99,113.33,"1,792,688"
